ID,Duplicates,Commons model allows,Notes,Session date,Evidence,Name,Organisation,Role ,Member/Witness,"Reference (Question, page, line)",Competency,RMFI category,Other reason for inclusion ,Notes.1,Link
W58,,No,,2022-03-15,Written,,Electoral Commission,,Witness,p6,What date was the interest submitted to the register,Multiple/all categories,"Data capture, storage and standards; Compliance",Used by EC for the purposes of monitoring compliance with PPERA,https://committees.parliament.uk/writtenevidence/106963/pdf/
W59,W19,Duplicate,,2022-03-15,Written,"Wright QC, Jeremy",House of Commons,Members,Witness,p1,"Is the paid work to provide services as a parliamentary strategist, adviser or consultant.",Employment and earnings,,,https://committees.parliament.uk/writtenevidence/107009/pdf/
W60,O4,Duplicate,,2022-03-15,Written,,Compassion in Politics,,Witness,p4,What are the number of hours spent on second jobs,Employment and earnings,,,https://committees.parliament.uk/writtenevidence/106940/pdf/
W61,O2,Duplicate,,2022-03-15,Written,"Leadsom, Andrea",House of Commons,Members,Witness,p2-3,Conflict between RMFI and Ministerial lists,Multiple/all categories,Different data requirements,,https://committees.parliament.uk/writtenevidence/106982/default/
W62,W19,Duplicate,,2022-03-15,Written,"Grayling, Chris",House of Commons,Members,Witness,p1,"Is the paid work to provide services as a parliamentary strategist, adviser or consultant and does this relate to the members parliamentary role and responsibilities",Employment and earnings,,,https://committees.parliament.uk/writtenevidence/107017/pdf/
W63,,Partial,In line with EC for some categories,2022-03-15,Written,"Ranson, Malcolm",House of Commons,Members,Witness,p1,Is the register founded on the same standards as other public sector registers ,Multiple/all categories,"Data capture, storage and standards ",Points to NHS: https://protect-eu.mimecast.com/s/tTr3C71P5CBvMDDT8HOgT?domain=england.nhs.uk,https://committees.parliament.uk/writtenevidence/107020/pdf/
W64,,Partial,,2022-03-15,Written,,Transparency International UK,,Witness,p2,"Gifts, benefits and hospitality from foreign provenance",Gifts and benefits from sources outside the UK,,,https://committees.parliament.uk/writtenevidence/106973/pdf/
W65,,Partial,,2022-03-15,Written,,Transparency International UK,,Witness,"p1,3",Did any members accept paid foreign travel costing over £500 ,Visits outside the UK,,,https://committees.parliament.uk/writtenevidence/106973/pdf/
W66,,Partial,,2022-03-15,Written,,Transparency International UK,,Witness,"p1,3",Which organisations provided paid foreign travel costing over £500 to a member,Visits outside the UK,,,https://committees.parliament.uk/writtenevidence/106973/pdf/
W67,,Partial,"Definition of ""family""",2022-03-15,Written,,Transparency International UK,,Witness,p3,"How many family members of members were engaged in lobbying
",Family members engaged in lobbying,,caution against the proposal to scrap this category,https://committees.parliament.uk/writtenevidence/106973/pdf/
W68,,Partial,As free text,2022-03-15,Written,,Transparency International UK,,Witness,p3,Which organisations were  family members of members engaged in lobbying,Family members engaged in lobbying,,caution against the proposal to scrap this category,https://committees.parliament.uk/writtenevidence/106973/pdf/
W69,O19,Duplicate,,2022-03-15,Written,,Transparency International UK,,Witness,p4,"Is the paid work to provide services as a parliamentary strategist, adviser or consultant.",Employment and earnings,,,https://committees.parliament.uk/writtenevidence/106973/pdf/
W70,O4,Duplicate,,2022-03-15,Written,,Transparency International UK,,Witness,p6,What are the number of hours spent on second jobs,Employment and earnings,,,https://committees.parliament.uk/writtenevidence/106973/pdf/
W71,O35,Duplicate,,2022-03-15,Written,,Transparency International UK,,Witness,p6,Is the outside employment related to political activity or providing an essential public service,Employment and earnings,,Propsing that exemption for political activity or providing an essential public service.,https://committees.parliament.uk/writtenevidence/106973/pdf/
W72,W5,Duplicate,,2022-03-17,Written,"Debbonaire, Thangam",House of Commons,Members,Witness,p1,"Is the paid work to provide services as a parliamentary strategist, adviser or consultant",Employment and earnings,,,https://committees.parliament.uk/writtenevidence/43755/pdf/
W73,,Partial,No link between declaration and registration,2022-03-17,Written,"Debbonaire, Thangam",House of Commons,Members,Witness,p2,Which declaration in the House business does the interest relate to,Multiple/all categories,Linking to other data sets or systems ,"Discusses the usefulness of the register linking to the relevant declaration (in say Q&A, Hansard, House papers etc.) ",https://committees.parliament.uk/writtenevidence/43755/pdf/
W74,O2,Duplicate,,2022-03-17,Written,"Debbonaire, Thangam",House of Commons,Members,Witness,p2,Conflict between RMFI and Ministerial lists,Multiple/all categories,Different data requirements,,https://committees.parliament.uk/writtenevidence/43755/pdf/
W75,W40,Duplicate,,2022-03-15,Written,"Simpson, Claire",Member of the public,,Witness,p5,What are the contractual terms of the outside employment (paid work),Employment and earnings,,,https://committees.parliament.uk/writtenevidence/107012/pdf/
W76,W73,Duplicate,,2022-05-24,Written,"Benger, John",House of Commons,Clerk of the House at House of Commons,Witness,p4,Is a registered interest linked to a declaration in any parliamentary proceedings?,Multiple/all categories,Linking to other data sets or systems ,,https://committees.parliament.uk/writtenevidence/108715/pdf/
W77,,Partial,No link between declaration and registration,2022-05-24,Written,"Benger, John",House of Commons,Clerk of the House at House of Commons,Witness,p5-6,Have any members initiated a parliamentary proceeding in relation to an organisation recorded as an interest in the RMFI ,Multiple/all categories,Linking to other data sets or systems ,Identify intances of banned activities,https://committees.parliament.uk/writtenevidence/108715/pdf/
W78,,Partial,IPSA use connected parties for families,2022-05-16,Written,,The 1922 Committee,,Witness,p7,Which connected parties were engaged in lobbying,Family members engaged in lobbying,,"Views ""connected parties"" as a more suitable, encompassing phrase",https://committees.parliament.uk/writtenevidence/106613/default/
W79,,Partial,Information is published,2022-05-16,Written,,The 1922 Committee,,Witness,p11,How often is the information gathered/published,Multiple/all categories,"Data capture, storage and standards; Compliance ",,https://committees.parliament.uk/writtenevidence/106613/default/
W80,O2,Duplicate,,2022-05-16,Written,,The 1922 Committee,,Witness,p11,Conflict between RMFI and Ministerial lists,Multiple/all categories,Different data requirements,Duplication of efforts,https://committees.parliament.uk/writtenevidence/106613/default/
C1,,Partial,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln6,How often do members report interests late,Multiple/all categories,Compliance,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C2,,Partial,No link between declaration and registration,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln8,Are there interests a member has declared but not reported to the RMFI (or vice versa),Multiple/all categories,Linking to other data sets or systems; Compliance,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C3,,Partial,Model can't answer. Linking IDs might,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln10,Are there any directorships or shareholdings reported to Companies House that members haven’t reported to the RMFI,Shareholdings,Linking to other data sets or systems; Compliance,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C4,,Partial,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln14,How many / which members have outside employment,Employment and earnings,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C5,O23,Duplicate,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln16,How much has a member earned from outside employment in a calendar year / parliament / time in parliament,Employment and earnings,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C6,,Partial,Need to aggregate in code,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln18,Which MPs earn the most from outside interests per annum?,Employment and earnings,,Q posed as there's no uniform way to declare income.,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C7,,Partial,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln20,Can earnings be recorded in a standardised way,Employment and earnings,"Data capture, storage and standards; Compliance ",,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C8,O4,Duplicate,Need to aggregate in code,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln22,How much time has a member spent on outside jobs in a calendar year / parliament / time in parliament,Employment and earnings,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C9,,Partial,Need to aggregate in code,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln24,How much has a member received in benefits in a calendar year / parliament / time in parliament,Gifts benefits and hospitality from UK sources,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C10,,Partial,Need to aggregate in code,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln26,How much has a member received in donations in a calendar year / parliament / time in parliament,Donations and other support,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C11,,Partial,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln28,"How many members still employ their spouse, and in what role",Family members employed and paid from parliamentary expenses,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C12,,Partial,Not a register of company interests,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln32,"For companies that pay MPs as employees, directors or consultants, who are their private clients?",Employment and earnings,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C13,,Partial,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln34,"For companies that pay MPs as employees, directors or consultants, is the company currently listed on the Register of Consultant Lobbyists?",Employment and earnings,Linking to other data sets or systems,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C14,O10,Duplicate,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln36,What category of business does each of the companies listed in the RMFI operate in? (SG: SIC code presumably),Multiple/all categories,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C15,,Partial,Categories 2 and 3 only,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln38,What is the UK company number of each of the companies listed in the RMFI?,Multiple/all categories,Linking to other data sets or systems,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C16,,Partial,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln38,"For companies listed in the RMFI that are not registered in the UK, what jurisdiction are they registered in?",Multiple/all categories,Linking to other data sets or systems,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C17,,Partial,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln40,"What is the relationship between a member and an organisaton (e.g. shareholder, unpaid role)",Multiple/all categories,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C18,,Partial,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln42,Which members have a connection to organization x,Multiple/all categories,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C19,,Partial,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln44,Which members have a connection to an organization with SIC code x,Multiple/all categories,Linking to other data sets or systems,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C20,,Unclear,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln46,"Which members have a connection to a topic / theme x e.g. energy, transport, defence etc.",Multiple/all categories,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C21,,Unclear,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln48,Which members have a connection with an oligarch/corrupt individual/regime x,Multiple/all categories,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C22,,Unclear,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln50,How many members have unpaid outside roles,Employment and earnings,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C23,,Unclear,"Depends on definition of ""geographic area""",2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln54,Which members own a property in a particular geographical area ,Land and property portfolio,,i.e. country/region/county/metropolitan area/constituency/city/town ,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C24,,Unclear,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln56,Which members own property and earn income in rent that meet rule thresholds,Land and property portfolio,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C25,,Unclear,"Depends on definition of ""place""",2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln60,Where are the most popular destinations for overseas visits by place/region/country,Visits outside the UK,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C26,,Unclear,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln62,What dates (from and to) did members fly overseas,Visits outside the UK,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C27,,Unclear,No control for payee but allows string search,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln64,Who has paid the most for overseas visits,Visits outside the UK,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C28,,Unclear,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln66,How many sponsors of overseas visitors are foreign governments,Visits outside the UK,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C29,,Unclear,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln69,Which overseas visits were related to the work of APPGs ,Visits outside the UK,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C30,,Unclear,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln69,Which members have undertaken foreign trips as part of APPG delegations,Visits outside the UK,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C31,,Unclear,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln71,Which MPs have undertaken the most overseas visits in a calendar year / parliament / time in parliament,Visits outside the UK,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C32,,Unclear,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln73,Which MPs have undertaken the highest valued overseas visits in a calendar year / parliament / time in parliament,Visits outside the UK,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C33,,Unclear,No link between declaration and registration,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln77,Which members have declared an interest on a written question & for what interest,Multiple/all categories,Linking to other data sets or systems,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C34,,Unclear,No link between declaration and registration,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln79,Which members have declared an interest on a tabled oral question & for what interest,Multiple/all categories,Linking to other data sets or systems,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C35,,Yes,No link between declaration and registration,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln81,Which members have declared an interest before an oral contribution & for what interest,Multiple/all categories,Linking to other data sets or systems,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C36,,Yes,No link between declaration and registration,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln83,What interests has a member declared,Multiple/all categories,Linking to other data sets or systems,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C37,,Yes,No link between declaration and registration,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln85,What members have declared an interest in subject x,Multiple/all categories,"Data capture, storage and standards",,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C38,,Yes,,2022-10-03,Additional,,The Times,,Witness,ln91,"For companies listed on the RMFI, what is the company name listed on CH are they known by any alternative names ",Multiple/all categories,"Data capture, storage and standards; Linking to other data sets or systems","Perhaps link to companies house entry, and use CH for preferred name",ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C39,,Yes,,2022-10-03,Additional,,The Times,,Witness,ln91,"For companies listed on the RMFI, who are their parent companies",Multiple/all categories,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C40,O10,Duplicate,,2022-10-03,Additional,,The Times,,Witness,ln91,What category of business does each of the companies listed in the RMFI operate in? (SG: SIC code presumably),Multiple/all categories,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C41,,Yes,CH ID for some categories. No charity ID,2022-10-03,Additional,,The Times,,Witness,ln93,What is the UK company/charity number of each of the companies listed in the RMFI?,Multiple/all categories,Linking to other data sets or systems,CH and charity commission,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C42,,Yes,,2022-10-03,Additional,,The Times,,Witness,ln95,Does the member own exempted property,Land and property portfolio,,"While members are not required to declare details of a property they own in which they are normally resident, it would be helpful to know if they have used this exemption.",ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C43,C38,Duplicate,,2022-10-03,Additional,,The Times,,Witness,ln97,"For companies listed on the RMFI, what is the company name listed on CH are they known by any alternative names ",Multiple/all categories,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C44,C42,Duplicate,,2022-10-03,Additional,,The Times,,Witness,ln99,Does the member own exempted property,Land and property portfolio,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C45,C23,Duplicate,,2022-10-03,Additional,,The Times,,Witness,ln99,Which members own a property in a particular geographical area / How many properties does a member hold in a particular geographical area,Land and property portfolio,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C46,,Yes,Just above threshold,2022-10-03,Additional,,The Times,,Witness,ln99,What is the total rental income for Members owning multiple properties / How many/Which members own property and earn income in rent that meet rule thresholds,Land and property portfolio,,,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C47,,Yes,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln103,What steps are taken by parliamentary authorities to ensure that the RMFI is accurate when it is published,Multiple/all categories,"Data capture, storage and standards; Compliance",,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
C48,,Yes,,2022-10-03,Additional,"Goodrich, Steve",Transparency International,,Witness,ln105,What consideration has parliament given to developing and promoting a national open data standard that could be used to publish registers of information data,Multiple/all categories,"Data capture, storage and standards",,ontologies/competency-question.md at master · ukparliament/ontologies · GitHub
R1,O7,Duplicate,,2022-01-04,Interview,,Transparency International,Campaigner/lobbyist,,,What are MPs second jobs?,Employment and earnings,,,
R2,,Yes,,2022-01-04,Interview,,Transparency International,Campaigner/lobbyist,,,"What are MPs engagements, interests?",Employment and earnings,,,
R3,O23 / O4 / O7,Duplicate,,2022-01-04,Interview,,Transparency International,Campaigner/lobbyist,,,"How many MPs have second jobs, what types of jobs are they, how much time they spend on it per year, how much they are paid for that – especially in aggregate rather than on an individual basis",Employment and earnings,,,
R4,,Yes,No values in Lords,2022-01-04,Interview,,Transparency International,Campaigner/lobbyist,,,What are MPs/Lords financial interests through companies?,Shareholdings,,,
R5,,Yes,,2022-01-04,Interview,,Transparency International,Campaigner/lobbyist,,,"Exactly what entities are related to MPs (who’s received contracts, who’s receiving public grunts, who’s received preferential treatment)?",Employment and earnings,,,
R6,,Yes,Yes for commons,2022-01-04,Interview,,Transparency International,Campaigner/lobbyist,,,What are MPs/Lords property interests?,Land and property portfolio,,,
R7,,Yes,Via Wikidata possibly,2022-01-04,Interview,,Transparency International,Campaigner/lobbyist,,,"How to find links of shareholdings or directorships back to the Companies House to understand the economic activity of those companies, number of assets, where they are?",Shareholdings,,,
R8,,Yes,,2022-01-04,Interview,,Transparency International,Campaigner/lobbyist,,,"What are MPs/Lords personal financial interests around stamp duty, rights for leaseholders?",Land and property portfolio,,,
R9,,Yes,,2022-01-04,Interview,,Transparency International,Campaigner/lobbyist,,,Consistency in properties info in how private interest relates to their public role,Land and property portfolio,,,
R10,C23,Duplicate,,2022-01-04,Interview,,Transparency International,Campaigner/lobbyist,,,"More specific info on the location in identifying location of their properties – local authority area, reasonable geographic unit",Land and property portfolio,,,
R11,,Yes,Information is published,2022-01-04,Interview,,Transparency International,Campaigner/lobbyist,,,How to find out to what period of time interest applies?,Miscellaneous,,,
R12,,Yes,,2022-01-04,Interview,,Open Democracy,Journalist,,,How to cross check public opinions and company endorsement?,Shareholdings,,,
R13,,Yes,,2022-01-04,Interview,,Open Democracy,Journalist,,,How to identify conflict of interests inside and outside parliament?,Miscellaneous,,,
R14,O23 / O4 / O7,Duplicate,,2022-01-04,Interview,,Open Democracy,Journalist,,,"How much MPs work, paid, hours (second jobs)?",Employment and earnings,,,
R15,,Yes,,2022-01-04,Interview,,Open Democracy,Journalist,,,Information on donors – how much money donated for different APPGs rather than go through them manually?,Donations and other support,,,
R16,,Yes,,2022-01-04,Interview,,Open Democracy,Journalist,,,"Identifying a standardised way of reporting income (time metric, gross/net etc)",Employment and earnings,,,
R17,O4,Duplicate,,2022-01-04,Interview,,Open Democracy,Journalist,,,"How do MPs stack up against each other – e.g., time commitment to outside interests?",Employment and earnings,,,
R18,,Yes,Categories 2 and 3 only,2022-01-04,Interview,,Open Democracy,Journalist,,,"Being able to look up company number in the register e.g., when declaring directorships, interests",Shareholdings,,,
R19,,Yes,Unclear on overlaps of models,2022-01-04,Interview,,Open Democracy,Journalist,,,"Being able to browse a single register with everything in one – MPs, Lords",Miscellaneous,,,
R20,,Yes,,2022-01-04,Interview,,Open Democracy,Journalist,,,How many MPs have worked for foreign governments or peers worked for foreign governments?,Employment and earnings,,,
R21,,Yes,,2022-01-04,Interview,,Business Insider,Journalist,,,What gifts were MP given in X year?,Gifts benefits and hospitality from UK sources,,,
R22,O4,Duplicate,,2022-01-04,Interview,,Business Insider,Journalist,,,"MPs earnings – annually, monthly, hourly (comparability and standardisation)?",Employment and earnings,,,
R23,,Yes,"Under threshold radar. Unclear on defn of ""small and incremental""",2022-01-04,Interview,,Business Insider,Journalist,,,How to identify donors who give small incremental amounts of money to different MPs?,Donations and other support,,,
R24,,Yes,,2022-01-04,Interview,,Business Insider,Journalist,,,How to compare who the companies donate money to vs who appears on payroll?,Donations and other support,,,
R25,,Yes,,2022-01-04,Interview,,Business Insider,Journalist,,,How to identify donations to political parties from companies no longer existing?,Donations and other support,,,
R26,,Yes,,2022-01-04,Interview,,Business Insider,Journalist,,,"Company number, when listed, should link to Companies House",Shareholdings,,,
R27,,Yes,,2022-01-04,Interview,,Business Insider,Journalist,,,How to identify when interest was added and seized for the Lords?,Employment and earnings,,,
R28,,Yes,,2022-11-04,Interview,,Full Fact,Campaigner/lobbyist,,,"Which MPs have relations with the health sector, around migration?",Miscellaneous,,,
R29,,Yes,,2022-11-04,Interview,,Full Fact,Campaigner/lobbyist,,,How to make comparisons to who was being represented in front of what select committees to identify topic-based relationships across MPs (Introducing unique identifiers),Miscellaneous,,,
R30,,Yes,,2022-11-04,Interview,,Full Fact,Campaigner/lobbyist,,,How to identify the same activity across MPs/identify usual and unusual activity across MPs? (Better contextualisation of data),Miscellaneous,,,
R31,,Yes,By string search only,2022-11-04,Interview,,Independent,Journalist,,,Which MPs have (ever) taken donations/gifts from x?,Donations and other support,,,
R32,,Yes,,2022-11-04,Interview,,Independent,Journalist,,,What are MPs financial links with different companies?,Shareholdings,,,
R33,,Yes,,2022-11-04,Interview,,Independent,Journalist,,,How to access MPs activity by searching for their name?,Miscellaneous,,,
R34,,Yes,By string search only,2022-11-04,Interview,,Independent,Journalist,,,"How to look up specific donors and their activity – e.g., their relations with various MPs?",Donations and other support,,,
R35,,Yes,"By string search only (""ticket""). No events types",2022-11-04,Interview,,Independent,Journalist,,,"How to browse relevant information about ticketing by subject e.g., sporting tickets, cultural events tickets over the year?",Gifts benefits and hospitality from UK sources,,,
R36,,Yes,,2022-11-04,Interview,,My Society/TheyWorkFor You,Campaigner/lobbyist,,,"How can we identify that when members have moved into a new area, they declare a new conflict of interest (accessing what’s declared at different time periods)?",Land and property portfolio,,,
R37,,Yes,,2022-11-04,Interview,,My Society/TheyWorkFor You,Campaigner/lobbyist,,,How to compare parliamentary data across time?,Miscellaneous,,,
R38,,Yes,For specific example. Gist of question less clear,2022-11-04,Interview,,Electoral Commission,,,,"How can we filter out the information to find e.g., cash donations that have gone to MP rather than their local association?",Donations and other support,,,
R39,,Yes,,2022-11-04,Interview,,Electoral Commission,,,,How can we find all the information in an accessible spreadsheet to easily filter out relevant data?,Miscellaneous,,,
R40,,Yes,,2022-11-04,Interview,,Electoral Commission,,,,How can we ensure that there is a universal completeness of data provided in the register?,Miscellaneous,,,
R41,,Yes,,2022-11-04,Interview,,Electoral Commission,,,,How do we find information on multiple donations to an MP from the same donor? (data aggregation),Donations and other support,,,
